"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "Python", "comment", "blank", "total"
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\Camera.js", "JavaScript", 35, 0, 0, 0, 0, 114, 16, 165
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\CelestialBody.js", "JavaScript", 39, 0, 0, 0, 0, 5, 6, 50
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\SolarSystem.js", "JavaScript", 18, 0, 0, 0, 0, 16, 1, 35
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\exportCelestialBodies.py", "Python", 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\main.js", "JavaScript", 99, 0, 0, 0, 0, 104, 16, 219
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\notes.md", "Markdown", 0, 0, 11, 0, 0, 0, 9, 20
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package-lock.json", "JSON", 0, 858, 0, 0, 0, 0, 1, 859
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\simulationWorker.js", "JavaScript", 65, 0, 0, 0, 0, 3, 8, 76
"Total", "-", 256, 866, 11, 13, 12, 242, 61, 1461
