"filename", "language", "Python", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\Camera.js", "JavaScript", 0, 4, 0, 0, 0, -108, -7, -111
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\CelestialBody.js", "JavaScript", 0, 41, 0, 0, 0, 1, 3, 45
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\SolarSystem.js", "JavaScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\custom-addons\OrbitControls.js", "JavaScript", 0, 794, 0, 0, 0, 83, 665, 1542
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\exportCelestialBodies.py", "Python", 311, 0, 0, 0, 0, 14, 9, 334
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\index.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\main.js", "JavaScript", 0, 79, 0, 0, 0, -1, 10, 88
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\moons.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\notes.md", "Markdown", 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package-lock.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\simulationWorker.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\test.py", "Python", 27, 0, 0, 0, 0, 4, 10, 41
"Total", "-", 338, 942, 40, 3, 9, -7, 695, 2020
