"filename", "language", "Python", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\Camera.js", "JavaScript", 0, 39, 0, 0, 0, 6, 9, 54
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\CelestialBody.js", "JavaScript", 0, 80, 0, 0, 0, 6, 9, 95
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\SolarSystem.js", "JavaScript", 0, 38, 0, 0, 0, 16, 3, 57
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\custom-addons\OrbitControls.js", "JavaScript", 0, 794, 0, 0, 0, 83, 665, 1542
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\exportCelestialBodies.py", "Python", 323, 0, 0, 0, 0, 14, 12, 349
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 22
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\main.js", "JavaScript", 0, 178, 0, 0, 0, 103, 26, 307
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\moons.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\notes.md", "Markdown", 0, 0, 0, 14, 0, 0, 11, 25
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package-lock.json", "JSON", 0, 0, 896, 0, 0, 0, 1, 897
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\package.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\simulationWorker.js", "JavaScript", 0, 69, 0, 0, 0, 3, 9, 81
"c:\Users\pekda\Programming\Gymnasieprojekt\V1\test.py", "Python", 27, 0, 0, 0, 0, 4, 10, 41
"Total", "-", 350, 1198, 906, 14, 22, 235, 756, 3481
